ID	PP	logFC	P.adjusted
MARS2	other	-0.150756667	0.636185493
A1BG	other	0.412646667	0.481336852
A1CF	other	-0.570953333	0.408525645
A2LD1	other	-0.320173333	0.212930365
A2M	other	0.0534	0.976062631
A2ML1	other	-0.78086	0.268513908
A4GALT	other	-0.558666667	0.226620557
A4GNT	other	-0.55425	0.047034411
AAA1	other	0.11636	0.845229084
AAAS	other	-0.18515	0.362772307
AACS	other	-0.174933333	0.579473877
AADAC	other	-0.60776	0.636185493
AADACL2	other	-0.000736667	1
AADACL3	other	0	1
AADACL4	other	0.057276667	0.713278503
AADAT	other	0.797353333	0.148564722
AAGAB	other	-0.354273333	0.107190981
AAK1	other	0.097273333	0.795908413
AAMP	other	-0.07033	0.752500208
AANAT	other	-0.316873333	0.176662838
AARS	other	-0.133323333	0.701059845
AARS2	other	0.18481	0.451730769
AARSD1	other	0.02017	0.983168601
AASDH	other	0.320353333	0.140801712
AASDHPPT	other	0.126826667	0.644159235
AASS	other	-0.06298	0.970448086
AATF	other	0.25112	0.185691444
AATK	other	0.18787	0.907719874
ABAT	other	1.012993333	0.053245512
ABCA1	other	0.114536667	0.830692015
ABCA10	other	0.136753333	0.890160224
ABCA11P	other	0.335216667	0.313776508
ABCA12	other	-0.987803333	0.482148619
ABCA13	other	0.947816667	0.386557145
ABCA17P	other	0.834536667	0.343895942
ABCA2	other	0.186413333	0.689930878
ABCA3	other	0.82898	0.362772307
ABCA4	other	1.243463333	0.350962333
ABCA5	other	-0.295046667	0.645779997
ABCA6	other	-0.132173333	0.883901733
ABCA7	other	-0.300046667	0.6214784
ABCA8	other	0.21225	0.877306254
ABCA9	other	-0.00103	1
ABCB1	other	-0.57287	0.174003951
ABCB10	other	-0.13984	0.676577501
ABCB11	other	-0.129623333	0.823163343
ABCB4	other	0.090596667	0.974050336
ABCB5	other	0.05512	0.974799971
ABCB6	other	-0.73346	0.139195055
ABCB7	other	0.1633	0.370549603
ABCB8	other	-0.336833333	0.314855693
ABCB9	other	0.40577	0.263687478
ABCC1	other	-0.489043333	0.095480658
ABCC10	other	0.1705	0.549964229
ABCC11	other	-0.963853333	0.020845339
ABCC12	other	0.49388	0.145918333
ABCC13	other	-0.71874	0.281742806
ABCC2	other	-3.184086667	0.00779234
ABCC3	other	0.44717	0.624415987
ABCC4	other	1.427386667	0.004402143
ABCC5	other	0.26141	0.486256861
ABCC6	other	0.326936667	0.707320451
ABCC6P1	other	0.752363333	0.306462889
ABCC8	other	0.8577	0.377999843
ABCC9	other	-0.22254	0.723333331
ABCD1	other	-0.401836667	0.313776508
ABCD2	other	-0.33351	0.621415118
ABCD3	other	-0.104656667	0.807779445
ABCD4	other	0.07678	0.818760316
ABCE1	other	-0.126456667	0.671931802
ABCF1	other	0.07748	0.754661136
ABCF2	other	-0.196586667	0.232482403
ABCF3	other	-0.05355	0.859787142
ABCG1	other	-0.452666667	0.379021579
ABCG2	other	-0.534416667	0.251002762
ABCG4	other	-0.189156667	0.683710728
ABCG5	other	-0.11409	0.809035024
ABCG8	other	-0.15305	0.571827187
ABHD1	other	0.325286667	0.611392514
ABHD10	other	0.05154	0.880538831
ABHD11	other	0.220453333	0.695215462
ABHD12	other	-0.0161	1
ABHD12B	other	0.108006667	0.902658179
ABHD13	other	0.022933333	0.972963026
ABHD14A	other	0.289963333	0.521336444
ABHD14B	other	-0.06668	0.895742295
ABHD15	other	-0.02373	0.984868745
ABHD2	other	-0.26223	0.629118891
ABHD3	other	-0.19878	0.586604662
ABHD4	other	-0.1493	0.757182378
ABHD5	other	0.055393333	0.893441966
ABHD6	other	-0.181113333	0.638408294
ABHD8	other	0.02678	0.998280714
ABI1	other	0.015993333	0.986139915
ABI2	other	0.49096	0.041998923
ABI3	other	-0.36031	0.381170778
ABI3BP	other	-0.08111	0.970448086
ABL1	other	-0.05111	0.908468432
ABL2	other	0.048553333	0.928256047
ABLIM1	other	-0.784646667	0.096725916
ABLIM2	other	-0.24045	0.773423095
ABLIM3	other	-0.41773	0.547516161
ABO	other	0.323793333	0.78784366
ABP1	other	0.117943333	0.994369168
ABR	other	0.45495	0.160113058
ABRA	other	0.033476667	0.977292197
ABT1	other	0.067103333	0.831788257
ABTB1	other	0.08249	0.908317308
ABTB2	other	0.814803333	0.030422874
ACAA1	other	-0.140093333	0.696781745
ACAA2	other	-0.044293333	0.971246114
ACACA	other	0.158736667	0.659920365
ACACB	other	-0.131033333	0.882443191
ACAD10	other	0.0797	0.844405034
ACAD8	other	0.40372	0.30977749
ACAD9	other	-0.09062	0.75508233
ACADL	other	-0.231083333	0.87322132
ACADM	other	0.001843333	1
ACADS	other	0.285603333	0.603745514
ACADSB	other	0.30457	0.569754117
ACADVL	other	-0.329113333	0.298825995
ACAN	other	-0.374453333	0.73072178
ACAP1	other	-0.79136	0.101759465
ACAP2	other	0.173903333	0.564972862
ACAP3	other	-0.2093	0.700802095
ACAT1	other	-0.065043333	0.918029681
ACAT2	other	-0.60361	0.047224055
ACBD3	other	0.075043333	0.849222901
ACBD4	other	0.252126667	0.627214479
ACBD5	other	-0.232346667	0.380522136
ACBD6	other	-0.14757	0.624013077
ACBD7	other	0.807036667	0.127991523
ACCN1	other	-0.435046667	0.223448961
ACCN2	other	0.56597	0.38643036
ACCN3	other	-0.146913333	0.932823267
ACCN4	other	0.088223333	0.945611291
ACCN5	other	-0.05736	0.882085904
ACCS	other	-0.017976667	1
ACCSL	other	0.033656667	0.835703875
ACD	other	-0.04104	0.962324775
ACE	other	-0.198833333	0.716271771
ACE2	other	-1.52181	0.065451789
ACER1	other	-0.038353333	0.923606591
ACER2	other	0.28593	0.660149554
ACER3	other	-0.062813333	0.88380939
ACHE	other	1.028596667	0.307420318
ACIN1	other	0.100673333	0.75357919
ACLY	other	0.240676667	0.33627559
ACMSD	other	-0.504086667	0.745901472
ACN9	other	-0.207166667	0.526834236
ACO1	other	0.369086667	0.228258878
ACO2	other	-0.29943	0.052684029
ACOT11	other	-0.154616667	0.862204243
ACOT12	other	-0.136546667	0.748824121
ACOT13	other	-0.403733333	0.21656555
ACOT4	other	-0.1286	0.826895625
ACOT6	other	-0.419706667	0.27284696
ACOT7	other	-0.30502	0.429748475
ACOT8	other	0.051706667	0.903491143
ACOT9	other	-0.376676667	0.042656684
ACOX1	other	0.176413333	0.4925809
ACOX2	other	0.692436667	0.074149252
ACOX3	other	0.19745	0.473546545
ACOXL	other	1.995666667	0.005295466
ACP1	PP	-0.23395	0.178620795
ACP2	other	-0.316426667	0.072469931
ACP5	other	-0.449336667	0.306529713
ACP6	other	-0.18893	0.629854985
ACPL2	other	0.40704	0.142191403
ACPP	other	0.062203333	0.951713346
ACPT	other	0.032423333	0.884668576
ACR	other	0.064476667	0.947572135
ACRBP	other	0.169076667	0.799423542
ACRC	other	0.958056667	0.080672656
ACRV1	other	-0.280403333	0.56068635
ACSBG1	other	-0.1012	0.937947878
ACSBG2	other	-0.00815	1
ACSF2	other	-0.252376667	0.644306325
ACSF3	other	-0.034896667	0.960983636
ACSL1	other	-0.06815	0.921786011
ACSL3	other	-0.421036667	0.074132831
ACSL4	other	-0.64143	0.114267236
ACSL5	other	0.44418	0.441457251
ACSL6	other	0.783873333	0.374948934
ACSM1	other	-0.087166667	0.957773496
ACSM2A	other	0.027683333	0.979664115
ACSM2B	other	0.224013333	0.636185493
ACSM3	other	0.388363333	0.657386651
ACSM4	other	-0.05129	0.593975729
ACSM5	other	-0.020353333	1
ACSS1	other	0.796193333	0.06635641
ACSS2	other	-0.194053333	0.578342934
ACSS3	other	0.20852	0.794893996
ACTA1	other	-0.108356667	0.956036484
ACTA2	other	-0.614403333	0.141057079
ACTB	other	0.03734	0.93649074
ACTBL2	other	0.11974	0.925593563
ACTC1	other	-0.084153333	0.962943844
ACTG1	other	0.125663333	0.621791064
ACTG2	other	-0.723796667	0.217562295
ACTL6A	other	0.336956667	0.141057079
ACTL6B	other	-0.0481	0.508673972
ACTL7A	other	0.047576667	0.614984049
ACTL7B	other	-0.046296667	0.781253771
ACTL8	other	-0.818386667	0.538743437
ACTL9	other	-0.01436	0.991148551
ACTN1	other	-0.158433333	0.742168262
ACTN2	other	0.63743	0.293688725
ACTN3	other	0.05245	0.951231174
ACTN4	other	0.02159	0.996873248
ACTR10	other	0.160753333	0.538268628
ACTR1A	other	-0.092323333	0.627458322
ACTR1B	other	0.175246667	0.479316259
ACTR2	other	0.090963333	0.741251316
ACTR3	other	0.00889	1
ACTR3B	other	-0.21885	0.48752132
ACTR3C	other	-0.259276667	0.613549604
ACTR5	other	-0.11625	0.697159456
ACTR6	other	-0.078446667	0.790001968
ACTR8	other	0.169023333	0.313782716
ACTRT1	other	0.056366667	0.77553666
ACTRT2	other	0.0019	1
ACVR1	other	0.2953	0.230437729
ACVR1B	other	0.82279	0.004520374
ACVR1C	other	0.109816667	0.941030214
ACVR2A	other	-0.08867	0.804873212
ACVR2B	other	0.634823333	0.047442618
ACVRL1	other	-0.442593333	0.100950513
ACY3	other	-0.33157	0.751561617
ACYP1	other	-0.247933333	0.521026459
ACYP2	other	-0.581866667	0.038455829
ADA	other	-0.937366667	0.015648599
ADAD1	other	-0.024733333	0.676465968
ADAD2	other	-0.424776667	0.146133821
ADAL	other	-0.442113333	0.167853329
ADAM10	other	-0.18213	0.646147466
ADAM11	other	0.467473333	0.285418861
ADAM12	other	-0.853386667	0.21379097
ADAM15	other	-0.00805	1
ADAM17	other	0.15219	0.615399224
ADAM18	other	0.037273333	0.817593273
ADAM19	other	-0.571503333	0.216696352
ADAM2	other	0.181846667	0.852643384
ADAM20	other	-0.248596667	0.486445156
ADAM21	other	-0.270696667	0.66437596
ADAM22	other	1.09079	0.108912443
ADAM23	other	-0.5078	0.41466488
ADAM28	other	-0.938813333	0.119101857
ADAM29	other	0.41228	0.589472523
ADAM30	other	0.217696667	0.621525498
ADAM32	other	-0.59584	0.349339583
ADAM33	other	0.176306667	0.900101409
ADAM3A	other	0.03703	0.544544689
ADAM5P	other	-0.03079	0.537238785
ADAM6	other	-0.31106	0.787216499
ADAM7	other	-0.08473	0.595882807
ADAM8	other	-0.533526667	0.313808515
ADAM9	other	0.177583333	0.696818985
ADAMDEC1	other	-1.637066667	0.076228213
ADAMTS1	other	0.189243333	0.770943993
ADAMTS10	other	-0.21159	0.831090919
ADAMTS12	other	-0.19008	0.851324845
ADAMTS13	other	-0.13953	0.910514728
ADAMTS14	other	-0.494036667	0.500403053
ADAMTS15	other	-0.552396667	0.410013566
ADAMTS16	other	0.024053333	1
ADAMTS17	other	0.435553333	0.474509918
ADAMTS18	other	0.084723333	0.952407534
